Number,English,Spanish,French,German,Hindi
1,as,como,comme,wie,जैसा
2,I,I,je,ich,मैं
3,his,su,son,seine,उसके
4,that,que,que,dass,उस
5,he,él,il,er,उसने
6,was,era,était,war,था
7,for,para,pour,für,के लिये
8,on,en,sur,auf,पर
9,are,son,sont,sind,कर रहे हैं
10,with,con,avec,mit,साथ से
11,they,ellos,ils,sie,वे
12,be,ser,łtre,sein,होना
13,at,en,ů,bei,पर
14,one,uno,un,ein,एक
15,have,tener,avoir,haben,है
16,this,este,ce,dies,यह
17,from,desde,ů partir de,aus,से
18,by,por,par,durch,द्वारा द्वारा
19,hot,caliente,chaud,heiß,गरम
20,word,palabra,mot,Wort,शब्द
21,but,pero,mais,aber,लेकिन अ
22,what,qué,que,was,क्या भ
23,some,algunos,certains,einige,कुछ
24,is,es,est,ist,है
25,it,lo,il,es,यह
26,you,usted,vous,Sie,आप
27,or,o,ou,oder,या
28,had,tenido,eu,hatte,था
29,the,la,la,die,
30,of,de,de,von,का
31,to,a,ů,zu,सेवा मेरे
32,and,y,et,und,तथा
33,a,un,un,ein,ए
34,in,en,dans,bei,में
35,we,nos,nous,wir,हम
36,can,lata,boîte,können,कर सकते हैं
37,out,fuera,dehors,aus,बाहर
38,other,otros,autre,andere,अन्य
39,were,eran,étaient,waren,थे
40,which,que,qui,die,कौन कौन से
41,do,hacer,faire,tun,कर
42,their,su,leur,ihre,जो अपने
43,time,tiempo,temps,Zeit,समय
44,if,si,si,wenn,अगर
45,will,lo hará,volonté,werden,मर्जी
46,how,cómo,comment,wie,किस तरह
47,said,dicho,dit,sagte,कहा हुआ
48,an,un,un,ein,एक
49,each,cada,chaque,jeder,से प्रत्येक
50,tell,decir,dire,sagen,कहना
51,does,hace,ne,tut,कर देता है
52,set,conjunto,ensemble,Satz,सेट
53,three,tres,trois,drei,तीन
54,want,querer,vouloir,wollen,चाहते हैं
55,air,aire,air,Luft,वायु
56,well,así,bien,gut,कुंआ
57,also,también,aussi,auch,भी
58,play,jugar,jouer,spielen,प्ले
59,small,pequeĄo,petit,klein,छोटा
60,end,fin,fin,Ende,समाप्त
61,put,poner,mettre,setzen,डाल दिया
62,home,casa,maison,Zuhause,घर
63,read,leer,lire,lesen,पढ़ना
64,hand,mano,main,seits,हाथ
65,port,puerto,port,Hafen,बंदरगाह
66,large,grande,grand,groß,विशाल
67,spell,deletrear,épeler,buchstabieren,जादू
68,add,aĄadir,ajouter,hinzufügen,जोड़ना
69,even,incluso,młme,auch,यहाँ तक की
70,land,tierra,terre,Lande,भूमि
71,here,aquí,ici,hier,यहां
